Suburb,Address,Rooms,Type,Price,SellerG,Date,Region name ,Distance,CouncilArea,Bedrooms,Bathroom,Car,Property Count
Abbotsford,49 Lithgow St,3,h,1490000.0,Jellis,01-04-2017,Northern Metropolitan,3.0,Yarra City Council,2.0,1.0,1.0,4019
Abbotsford,59A Turner St,3,h,1220000.0,Marshall,01-04-2017,Northern Metropolitan,3.0,Yarra City Council,2.0,1.0,1.0,4019
Abbotsford,119B Yarra St,3,h,1420000.0,Nelson,01-04-2017,Northern Metropolitan,3.0,Yarra City Council,2.0,1.0,0.0,4019
Aberfeldie,68 Vida St,3,h,1515000.0,Barry,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,3.0,2.0,1.0,1543
Airport West,92 Clydesdale Rd,2,h,670000.0,Nelson,01-04-2017,Western Metropolitan,10.4,Moonee Valley City Council,3.0,2.0,0.0,3464
Airport West,4/32 Earl St,2,t,530000.0,Jellis,01-04-2017,Western Metropolitan,10.4,Moonee Valley City Council,3.0,2.0,1.0,3464
Airport West,3/74 Hawker St,2,u,540000.0,Barry,01-04-2017,Western Metropolitan,10.4,Moonee Valley City Council,3.0,1.0,2.0,3464
Airport West,1/26 Highridge Cr,3,h,715000.0,Nelson,01-04-2017,Western Metropolitan,10.4,Moonee Valley City Council,3.0,2.0,2.0,3464
Albert Park,18 Mills St,3,h,1925000.0,Cayzer,01-04-2017,Southern Metropolitan,3.0,Port Phillip City Council,3.0,2.0,1.0,3280
Albion,3/15 Drummartin St,3,u,515000.0,Douglas,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,2.0,1.0,0.0,2185
Albion,3A Kororoit St,4,h,717000.0,Bells,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,4.0,2.0,0.0,2185
Alphington,55 Fulham Rd,2,h,1675000.0,Miles,01-04-2017,Northern Metropolitan,5.7,Darebin City Council,2.0,2.0,1.0,2211
Alphington,41 Toolangi Rd,4,h,2008000.0,Jellis,01-04-2017,Northern Metropolitan,5.7,Darebin City Council,6.0,2.0,0.0,2211
Altona,9 Delmont Av,2,h,860000.0,Barlow,01-04-2017,Western Metropolitan,11.0,Hobsons Bay City Council,2.0,1.0,2.0,5301
Armadale,2/23 Ashleigh Rd,2,u,836000.0,Jellis,01-04-2017,Southern Metropolitan,6.3,Stonnington City Council,1.0,1.0,1.0,4836
Armadale,6A Auburn Gr,2,h,2110000.0,Jellis,01-04-2017,Southern Metropolitan,6.3,Stonnington City Council,3.0,1.0,2.0,4836
Armadale,14/25 Kooyong Rd,2,u,580000.0,hockingstuart,01-04-2017,Southern Metropolitan,6.3,Stonnington City Council,2.0,1.0,1.0,4836
Ashburton,1/48 Karnak Rd,3,u,1270000.0,Fletchers,01-04-2017,Southern Metropolitan,10.2,Boroondara City Council,2.0,2.0,1.0,3052
Ashburton,61A Victory Bvd,3,t,1610000.0,Jellis,01-04-2017,Southern Metropolitan,10.2,Boroondara City Council,2.0,2.0,1.0,3052
Aspendale Gardens,8 Mangrove Ct,4,h,996000.0,Ray,01-04-2017,South-Eastern Metropolitan,21.5,Kingston City Council,2.0,1.0,1.0,2243
Avondale Heights,12 Duke St,4,h,825000.0,hockingstuart,01-04-2017,Western Metropolitan,9.5,Moonee Valley City Council,2.0,1.0,2.0,4502
Balwyn,104/29 Belgrove Av,2,u,660800.0,Fletchers,01-04-2017,Southern Metropolitan,7.9,Boroondara City Council,3.0,2.0,2.0,5682
Balwyn,2/362 Belmore Rd,2,t,700000.0,Walshe,01-04-2017,Southern Metropolitan,7.9,Boroondara City Council,3.0,2.0,1.0,5682
Balwyn,4/40 Northcote Av,3,u,955000.0,Noel,01-04-2017,Southern Metropolitan,7.9,Boroondara City Council,2.0,1.0,1.0,5682
Balwyn,306 Union Rd,4,h,1810000.0,Jellis,01-04-2017,Southern Metropolitan,7.9,Boroondara City Council,3.0,1.0,0.0,5682
Balwyn North,3 Abbott St,4,h,1850000.0,Fletchers,01-04-2017,Southern Metropolitan,9.7,Boroondara City Council,2.0,1.0,1.0,7809
Balwyn North,203 Belmore Rd,4,h,2600000.0,Jellis,01-04-2017,Southern Metropolitan,9.7,Boroondara City Council,3.0,2.0,1.0,7809
Balwyn North,56 Clifton St,3,h,1220000.0,hockingstuart,01-04-2017,Southern Metropolitan,9.7,Boroondara City Council,3.0,2.0,2.0,7809
Balwyn North,9 Cumberland Av,4,h,2470000.0,Fletchers,01-04-2017,Southern Metropolitan,9.7,Boroondara City Council,3.0,2.0,2.0,7809
