McKinnon,1/6 McKinnon Rd,3,t,1000000,SP,Gary,02-06-2018,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council
McKinnon,1/4 Prince Edward Av,3,t,1150000,VB,Gary,02-06-2018,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council
Meadow Heights,12 Knight Ct,3,h,,SN,FN,02-06-2018,3048,Northern Metropolitan,4704,17.4,Hume City Council
Melbourne,51/283 Spring St,2,u,720000,SP,MICM,02-06-2018,3000,Northern Metropolitan,17496,0,Melbourne City Council
Melbourne,106/431 St Kilda Rd,2,u,705000,S,Morleys,02-06-2018,3000,Northern Metropolitan,17496,0,Melbourne City Council
Melton South,29 Eaton St,3,h,375000,S,Raine,02-06-2018,3338,Western Victoria,4718,29.8,Melton City Council
Melton West,18 Becker Cl,3,h,510000,S,hockingstuart,02-06-2018,3337,Northern Victoria,6065,31.7,Melton City Council
Mentone,27 Balcombe Rd,4,h,1250000,PI,Hodges,02-06-2018,3194,South-Eastern Metropolitan,6162,20,Kingston City Council
Mentone,26A Naples Rd,2,t,858500,S,Greg,02-06-2018,3194,South-Eastern Metropolitan,6162,20,Kingston City Council
Mentone,7/21 Palermo St,1,u,415000,S,C21,02-06-2018,3194,South-Eastern Metropolitan,6162,20,Kingston City Council
Mentone,3 Rimmer St,4,h,1100000,VB,Obrien,02-06-2018,3194,South-Eastern Metropolitan,6162,20,Kingston City Council
Mentone,78 Venice St,4,h,1800000,VB,hockingstuart,02-06-2018,3194,South-Eastern Metropolitan,6162,20,Kingston City Council
Mernda,6 Brendan St,3,h,618000,S,Stockdale,02-06-2018,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council
Mernda,24 Coliban Dr,4,h,,PI,HAR,02-06-2018,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council
Mernda,3 Elmore Wy,4,h,650000,S,HAR,02-06-2018,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council
Mernda,65 Langdon Dr,3,h,,PI,HAR,02-06-2018,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council
Mernda,37 Skeeter Dr,3,h,,PI,Skad,02-06-2018,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council
Mickleham,2095 Mickleham Rd,7,h,,SN,Exchanged,02-06-2018,3064,Northern Metropolitan,1158,20.6,Hume City Council
Middle Park,45 Nimmo St,3,h,,VB,Greg,02-06-2018,3206,Southern Metropolitan,2019,3,Port Phillip City Council
Middle Park,80 Nimmo St,4,h,5440000,S,Cayzer,02-06-2018,3206,Southern Metropolitan,2019,3,Port Phillip City Council
Middle Park,8/70 Patterson St,1,u,380000,VB,hockingstuart,02-06-2018,3206,Southern Metropolitan,2019,3,Port Phillip City Council
Mill Park,26 Charlotte Rd,5,h,835000,S,Barry,02-06-2018,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council
Mill Park,271 Childs Rd,3,h,,PI,HAR,02-06-2018,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council
Mill Park,2/35 Cuthbert Dr,3,t,590000,S,Ray,02-06-2018,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council
Mill Park,15 Incana Dr,4,h,920000,VB,Raine,02-06-2018,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council
Mill Park,12 Randell Ct,4,h,,PI,Barry,02-06-2018,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council
Mitcham,1/21 Dudley St,3,h,885000,S,Ray,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,2/8 Halls Pde,3,u,850000,VB,Noel,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,7 Irene Cr,4,h,1088000,S,Ray,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,29 McGhee Av,3,h,845000,S,Noel,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,7/490 Mitcham Rd,3,t,750000,S,Ray,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,2/5 Valency Ct,5,t,1160000,S,Noel,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,42 Vernal Av,4,h,,VB,Fletchers,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mitcham,10 Walwa St,4,h,1110000,SP,Noel,02-06-2018,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council
Mont Albert,5/415 Elgar Rd,2,u,,SA,hockingstuart,02-06-2018,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council
Montmorency,32 Cressy St,3,h,871000,S,Jellis,02-06-2018,3094,Eastern Metropolitan,3891,16.2,Banyule City Council
Montmorency,28 Graeme Av,3,h,670000,S,Buckingham,02-06-2018,3094,Eastern Metropolitan,3891,16.2,Banyule City Council
Montmorency,100 Reichelt Av,3,h,690000,PI,Darren,02-06-2018,3094,Eastern Metropolitan,3891,16.2,Banyule City Council
Moonee Ponds,47 Ormond Rd,3,h,1050000,VB,Nelson,02-06-2018,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council
Moonee Ponds,55 Robinson St,3,h,1150000,S,Nelson,02-06-2018,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council
Moorabbin,31 Matilda Rd,4,h,1075000,PI,Buxton,02-06-2018,3189,Southern Metropolitan,2555,14.3,Kingston City Council
Moorabbin,1/12 William St,4,t,1100000,VB,Buxton,02-06-2018,3189,Southern Metropolitan,2555,14.3,Kingston City Council
Mordialloc,135E McDonald St,3,t,760000,S,Buxton,02-06-2018,3195,South-Eastern Metropolitan,3650,21.5,Kingston City Council
Mordialloc,1/54 White St,3,t,815000,SP,Barry,02-06-2018,3195,South-Eastern Metropolitan,3650,21.5,Kingston City Council
Mount Waverley,3/24 Adrienne Cr,3,t,592000,S,McGrath,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,2/10 Avondale Gr,4,t,,PI,Jellis,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,17 Bennett Av,3,h,1340000,PI,Jellis,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,2 Bradstreet Rd,3,h,1220000,S,Barry,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,1/92 Huntingdale Rd,4,t,1045200,S,RT,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,50 Marianne Wy,3,h,,SN,Harcourts,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,30 Mayfield Dr,3,h,,S,Jellis,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,1/28 Park La,2,u,745000,S,Ray,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,32 Park Rd,4,h,,SP,Marshall,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mount Waverley,3/254 Waverley Rd,2,u,592000,S,McGrath,02-06-2018,3149,Eastern Metropolitan,13366,14.2,Monash City Council
Mulgrave,101 Albany Dr,3,h,832500,SP,Harcourts,02-06-2018,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council
Mulgrave,140 Jacksons Rd,4,h,810000,S,Buxton,02-06-2018,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council
Murrumbeena,1/11 Murrumbeena Rd,1,u,270000,VB,Jellis,02-06-2018,3163,Southern Metropolitan,4442,10.1,Glen Eira City Council
Narre Warren,118 Fountain Dr,3,h,640000,S,Rexhepi,02-06-2018,3805,South-Eastern Metropolitan,9376,34.1,Casey City Council
Newport,229 Douglas Pde,2,h,1178500,S,Sweeney,02-06-2018,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
Newport,54 Junction St,3,h,1175000,S,Sweeney,02-06-2018,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
Newport,2/508 Melbourne Rd,2,u,342500,S,Jas,02-06-2018,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council
